成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
批歪丨阿順, 15, 14683278, 0, 10976, 120601, 29358983, 0, 25946, 120601, 16283, 河東, 血流
聖域の爽哥, 125, 14503194, 941, 5153, 0, 23186147, 1240, 9989, 0, 17411, 河東, 血流
通天飛賊, 135, 14360626, 1052, 2369, 0, 37709389, 1052, 7492, 0, 16698, 河東, 未分組
蒙古包, 60, 14249696, 3053, 6945, 0, 27627150, 3839, 19297, 0, 19333, 司隸, 未分組
高原, 107, 13730873, 516, 7452, 132996, 33696125, 1164, 20348, 132996, 16029, 司隸, 天機海賊
这样一个人, 2, 13519321, 522, 9278, 209210, 42884359, 522, 18965, 209210, 18103, 司隸, 文青茶棧
魃丨讓妳受潮, 94, 13464061, 1861, 4116, 0, 37759264, 1910, 8938, 0, 18683, 河東, 文青茶棧
熾羽翊, 39, 13436235, 1725, 8073, 127837, 36299719, 2892, 21958, 127837, 19889, 司隸, 未分組
哈囉丨靖, 28, 13410559, 1366, 9134, 121370, 36434625, 2760, 20983, 121370, 17970, 司隸, 天機海賊
太公望二世, 118, 13351838, 246, 4423, 0, 34403701, 246, 12669, 0, 17809, 司隸, 血流
西八丨芙莉蓮, 123, 13219861, 7264, 5319, 233905, 33568810, 7264, 9526, 233905, 19299, 河東, 西八屁屁
祖寒, 40, 13101864, 404, 9609, 121014, 28826093, 404, 22332, 121014, 19563, 司隸, 文青茶棧
Joker囧, 24, 13074518, 5468, 11127, 0, 41382229, 5468, 23906, 0, 23163, 河東, 未分組
一顆石頭, 91, 12981904, 1643, 2849, 106233, 12981904, 1643, 2849, 106233, 22173, 河東, 未分組
歐陽燁, 45, 12711816, 1203, 6337, 122627, 35080741, 1336, 15040, 122627, 17220, 司隸, 血流
海贼丨红豆, 72, 12685441, 0, 5410, 0, 23390034, 104, 14285, 0, 11030, 河東, 天機海賊
宇髓天元, 137, 12649139, 0, 350, 0, 29600073, 0, 1750, 0, 18049, 河東, 重點警告
RyanCats, 131, 12507842, 1, 2586, 0, 30984293, 1, 4470, 0, 18635, 河東, 未分組
柒柒兒, 139, 12251815, 0, 1388, 0, 32466613, 0, 7394, 0, 20770, 河東, 天機海賊
夜不凡, 55, 11946287, 1516, 5572, 135736, 29667388, 6218, 15165, 135736, 19493, 司隸, 未分組
海賊豹魯哥, 111, 11941867, 2845, 4519, 200660, 24996221, 2986, 11576, 200660, 16063, 司隸, 天機海賊
力宏敢, 144, 11898526, 0, 1260, 0, 27216344, 64, 2549, 11882, 16530, 河東, 血流
百世經綸, 70, 11805866, 188, 8413, 225780, 28405697, 1151, 18515, 225780, 17705, 司隸, 未分組
瘋玖陳, 9, 11721417, 9124, 3404, 120116, 62141432, 9125, 3404, 120116, 22466, 司隸, 天機海賊
無雙丨小黑熊, 76, 11689385, 0, 6591, 425020, 29662320, 0, 10300, 425020, 22585, 司隸, 天機海賊
上官飛燕, 88, 11597938, 0, 6800, 299668, 24207377, 1497, 17172, 299668, 16739, 河東, 未分組
雙煞丨白無常, 51, 11540659, 1914, 11307, 149498, 36946554, 2831, 24193, 149498, 20470, 司隸, 未分組
吃飽再減肥, 134, 11503590, 1, 3924, 269849, 21238419, 1, 5812, 269849, 14826, 河東, 未分組
