成員, 貢獻排行, 貢獻本週, 戰功本週, 助攻本週, 捐獻本週, 貢獻總量, 戰功總量, 助攻總量, 捐獻總量, 勢力值, 所屬州, 分組
程凝, 29, 20118152, 556, 11835, 0, 20551470, 556, 11835, 0, 18402, 河東, B組
劍丨莫問, 40, 27514843, 0, 8775, 0, 29889390, 0, 8775, 0, 18109, 河東, B組
滅世傑哥, 67, 17163675, 0, 9177, 0, 18714783, 0, 9177, 0, 18093, 河東, C組
龍匀, 26, 29072136, 0, 10106, 0, 30616781, 0, 10106, 0, 18090, 河東, B組
夜不凡, 18, 16468273, 3192, 9593, 0, 16468273, 3192, 9593, 0, 18083, 河東, B組
儒丨皇儒無上, 44, 19449447, 0, 9278, 0, 21973952, 0, 9278, 0, 18003, 河東, A組
西八丨芙莉蓮, 128, 17534587, 0, 4207, 0, 19637782, 0, 4207, 0, 17880, 河東, C組
熾羽翊, 38, 20659182, 1167, 13885, 0, 22762540, 1167, 13885, 0, 17830, 河東, B組
無双丨射波師, 103, 24380980, 0, 9590, 0, 26418623, 0, 9590, 0, 17793, 河東, C組
樂正小谷, 113, 26139076, 0, 7186, 0, 28212323, 0, 7186, 0, 17725, 河東, B組
飛鳥和蟬, 14, 18890453, 36, 10877, 0, 19315188, 36, 10877, 0, 17719, 河東, B組
無双丨諦聽, 6, 25029944, 1, 12901, 81177, 26369491, 1, 12901, 81177, 17710, 河東, C組
Nok, 42, 15839386, 1643, 11881, 0, 15969555, 1643, 11881, 0, 17570, 河東, C組
聚丨織田信長, 163, 22279398, 9, 2320, 0, 22787866, 9, 2320, 0, 17533, 河東, C組
聚丨程堯, 27, 16904194, 316, 11233, 0, 18345503, 316, 11233, 0, 17480, 河東, 九關門神
榮正平, 81, 13050864, 1689, 9399, 0, 13050864, 1689, 9399, 0, 17340, 河東, C組
百世經綸, 65, 15540144, 963, 10102, 0, 15540144, 963, 10102, 0, 17310, 河東, B組
無双丨王騎, 8, 24690896, 5302, 10841, 0, 25805430, 5302, 10841, 0, 17300, 河東, A組
克萊兒, 50, 13256484, 1, 19165, 0, 14302431, 1, 19165, 0, 17300, 河東, B組
神谷龍淵, 134, 13083969, 0, 5148, 0, 13083969, 0, 5148, 0, 17270, 河東, C組
文山青茶, 21, 22182064, 762, 10006, 0, 25124051, 762, 10006, 0, 17200, 河東, B組
